acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,219948.5,62,207618.0,64,199323.3,63,202717.9,64,220213.8,63,122779.7,58,128179.3,64,129738.5,58,101553.2,63,126857.8,63,173682.2,62,168233.6
127,211964.6,124,187698.3,116,184198.8,127,201227.0,121,144127.5,120,127054.3,121,145319.6,116,130602.5,108,133282.7,119,117519.9,128,203926.9,99,125915.4
253,201442.4,251,184723.4,222,177024.6,256,181317.5,247,204753.1,229,120796.2,228,63263.3,238,113411.5,232,139667.8,232,125903.0,249,181079.3,215,163536.6
498,182375.0,482,161227.1,499,172134.9,510,176191.1,505,168850.5,426,135019.6,468,125064.9,420,125432.9,449,139828.6,442,92163.8,498,188639.0,374,162580.4
994,83368.0,956,94203.0,926,81625.6,1003,86075.0,917,70995.8,867,75055.6,985,57686.9,810,72962.1,824,87917.3,900,55329.2,989,81872.7,561,149673.3
1892,56969.0,1897,54908.4,1896,56751.7,1966,54582.1,1769,65042.7,1671,37691.4,1766,34680.2,1756,31171.3,1625,43030.6,1758,29798.1,1932,53737.9,1691,44405.1
3812,31144.3,3316,31011.8,3813,25209.8,3993,23651.7,3163,36314.5,3543,15607.4,3796,13147.7,3686,16931.7,3345,19965.4,3498,16901.4,3793,25861.3,4069,16858.2
7456,16788.3,6878,12444.9,7209,13015.2,6374,14993.1,6196,19510.1,7230,8922.4,7560,7214.8,7252,6969.8,6710,11460.2,6846,8717.5,6904,14469.2,8152,6151.0
