acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,206283.9,62,170982.9,64,176234.9,63,171802.7,64,157861.5,63,117827.2,58,112329.2,64,127390.6,58,131238.9,63,120638.1,63,155630.6,62,146148.2
127,160254.1,124,146926.3,116,141483.0,127,157067.6,121,127040.0,120,99772.9,121,129822.3,116,112238.6,108,127680.9,119,112978.2,128,150975.6,99,150233.8
253,150696.8,251,147859.8,222,140909.1,256,151448.9,247,160287.2,229,121472.2,228,128732.0,238,117462.1,232,140095.9,232,108937.9,249,146819.4,215,130554.3
498,163855.4,482,167566.4,499,158545.6,510,176009.6,505,159078.1,426,121933.7,468,123922.8,420,105148.0,449,130103.1,442,90247.0,498,154001.3,374,113893.5
994,77479.0,956,98727.9,926,102433.4,1003,66664.4,917,78266.2,867,64507.4,985,59709.3,810,72780.8,824,85431.0,900,42455.7,989,87125.8,561,138171.0
1892,38396.8,1897,50200.2,1896,46081.4,1966,56742.6,1769,54179.3,1671,40420.2,1766,30147.5,1756,25056.1,1625,50162.6,1758,29785.2,1932,54595.5,1691,45351.1
3812,24570.1,3316,26744.8,3813,25413.8,3993,25723.2,3163,18736.7,3543,19148.2,3796,14870.0,3686,15087.9,3345,13565.3,3498,19686.1,3793,26773.8,4069,18131.6
7456,13854.8,6878,12720.7,7209,14394.3,6374,14860.7,6196,15495.9,7230,7480.5,7560,7960.6,7252,8148.8,6710,9905.8,6846,9742.2,6904,13269.4,8152,8717.7
