acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
126,169338.4,62,160383.2,64,153217.9,63,153743.5,64,131149.0,63,116504.1,58,110084.0,64,125466.5,58,135275.5,63,109075.8,63,156312.8,62,142970.9
127,148713.4,124,148457.6,116,147250.3,127,149932.6,121,122605.2,120,99944.3,121,127911.0,116,119810.0,108,123511.7,119,114656.5,128,155207.1,99,153701.5
253,141125.5,251,131857.9,222,145250.9,256,154767.9,247,158022.1,229,107717.6,228,114269.9,238,117302.0,232,132544.7,232,116208.1,249,148102.6,215,142727.1
498,129161.8,482,165704.8,499,169076.0,510,155961.5,505,167622.9,426,100.0,468,120750.1,
