acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,156702.6,62,152006.6,64,141655.5,63,153647.6,64,157629.6,63,107769.7,58,102359.2,64,126209.5,58,133301.4,63,118778.3,63,145160.8,62,147342.3
127,160181.4,124,147545.4,116,150962.9,127,153660.1,121,121102.5,120,101240.1,121,132069.4,116,121453.6,108,126962.1,119,114114.8,128,156996.8,99,150796.6
253,145399.4,251,141239.5,222,135207.9,256,138120.6,247,150149.9,229,120966.5,228,129272.9,238,107871.7,232,134843.4,232,116916.3,249,149359.0,215,142649.7
498,155342.0,482,149111.2,499,151499.2,510,149264.0,505,144309.5,426,112735.0,468,131851.4,420,116029.0,449,120019.6,442,93512.2,498,168318.6,374,114091.1
994,109680.6,956,105944.1,926,116216.8,1003,130734.1,917,162755.9,867,74543.0,985,60576.3,810,80728.9,824,92384.9,900,39700.8,989,86425.9,561,145567.2
1892,79714.2,1897,52185.0,1896,54222.9,1966,59367.9,1769,113034.1,1671,38409.3,1766,34795.4,1756,24901.5,1625,43631.8,1758,35387.2,1932,59824.2,1691,58420.2
3812,36145.3,3316,31068.0,3813,34238.5,3993,29216.4,3163,56485.7,3543,18455.2,3796,15822.4,3686,17454.4,3345,16183.0,3498,16919.5,3793,26630.4,4069,23304.2
7456,17776.4,6878,13124.8,7209,15007.4,6374,17892.7,6196,27820.8,7230,8881.8,7560,8451.8,7252,9436.6,6710,12993.4,6846,9009.2,6904,16042.3,8152,11234.8
