acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,194665.1,62,171898.1,64,147649.7,63,168826.9,64,190009.0,63,49271.8,58,120733.3,64,59250.1,58,68752.5,63,198774.6,63,213577.0,62,169810.9
127,193854.3,124,171570.9,116,172923.3,127,164127.2,121,118907.6,120,134369.4,121,96535.3,116,100941.6,108,121694.0,119,79519.1,128,195908.8,99,131774.2
253,215062.6,251,162263.6,222,169502.1,256,150393.8,247,215047.0,229,137922.4,228,100287.5,238,112013.5,232,97240.0,232,108370.6,249,201559.9,215,148498.7
498,224347.4,482,178699.3,499,197118.5,510,191579.0,505,204853.4,426,164081.2,468,125536.3,420,107431.0,449,125313.2,442,76703.9,498,188657.1,374,175578.3
994,105913.8,956,101973.7,926,94393.9,1003,109014.2,917,119860.8,867,53269.8,985,28196.9,810,49220.4,824,81043.8,900,54684.4,989,68424.2,561,137703.0
1892,53819.1,1897,53113.0,1896,54638.4,1966,48528.0,1769,62902.2,1671,32694.8,1766,24709.3,1756,32560.4,1625,46120.1,1758,40993.1,1932,46015.3,1691,35964.5
3812,33145.1,3316,33093.1,3813,23923.2,3993,23743.4,3163,38299.3,3543,17639.9,3796,15075.5,3686,12923.4,3345,21403.1,3498,6195.7,3793,23426.8,4069,15502.4
7456,13799.4,6878,13158.6,7209,13120.2,6374,15517.3,6196,16165.9,7230,7607.0,7560,6865.0,7252,7083.8,6710,10355.3,6846,8755.3,6904,12668.4,8152,9106.9
