acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,190061.9,62,161609.4,64,178521.8,63,185958.3,64,203638.2,63,0.6,58,0.6,64,205672.0,58,199356.1,63,207242.7,63,183172.6,62,168357.5
127,183025.8,124,186892.5,116,23472.9,127,187874.5,121,6079.2,120,16829.8,121,0.6,116,0.5,108,12754.8,119,186758.0,128,203356.5,99,173834.7
253,195645.2,251,185801.8,222,156592.0,256,196026.2,247,219103.4,229,176728.2,228,208545.0,238,111750.5,232,192255.7,232,86539.3,249,127569.0,215,0.6
498,183931.7,482,195701.4,499,200256.7,510,153373.7,505,182968.3,426,39264.2,468,33106.9,420,143045.5,449,87265.3,442,87475.7,498,179325.0,374,141099.2
994,135720.8,956,125771.7,926,168403.9,1003,138994.2,917,169235.4,867,123218.9,985,99859.6,810,68820.4,824,87327.9,900,0.6,989,134563.3,561,140461.0
1892,85581.6,1897,93490.3,1896,119054.7,1966,112599.0,1769,107222.1,1671,66262.6,1766,49384.1,1756,62157.5,1625,108858.0,1758,52061.9,1932,95006.6,1691,72103.9
3812,38175.3,3316,22486.2,3813,34555.4,3993,27648.8,3163,40326.7,3543,13835.8,3796,23207.7,3686,25094.9,3345,21018.4,3498,29714.0,3793,26372.8,4069,50126.3
7456,18078.8,6878,12476.0,7209,10845.5,6374,17890.2,6196,21711.6,7230,8563.7,7560,4641.7,7252,12414.0,6710,9809.5,6846,9891.5,6904,13036.3,8152,7290.1
