acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,221356.5,62,197545.2,64,191073.1,63,208553.7,64,214601.1,63,124188.1,58,122963.8,64,138898.5,58,118797.4,63,127278.1,63,182515.1,62,170036.5
127,213857.0,124,185452.0,116,183122.9,127,203665.7,121,143689.4,120,137984.1,121,134361.2,116,120440.9,108,109813.7,119,107583.9,128,207795.5,99,115028.4
253,224373.4,251,183176.0,222,178551.3,256,196930.9,247,226133.1,229,120460.2,228,63496.5,238,125157.7,232,140198.3,232,126097.1,249,202231.3,215,163817.2
498,212207.7,482,186801.7,499,182783.3,510,202248.4,505,222836.6,426,132388.8,468,130775.5,420,109345.4,449,142208.1,442,100145.1,498,191213.6,374,154554.4
994,207938.4,956,178367.8,926,189113.6,1003,190303.4,917,211757.0,867,112341.7,985,99568.9,810,118706.7,824,104410.7,900,93799.6,989,191979.5,561,165308.4
1892,212719.3,1897,98865.1,1896,176804.5,1966,180690.0,1769,210847.4,1671,62367.8,1766,59271.9,1756,67656.8,1625,57699.2,1758,52175.0,1932,158116.5,1691,103124.9
3812,170246.7,3316,63336.9,3813,108814.8,3993,134395.0,3163,213905.4,3543,29914.5,3796,18860.9,3686,35232.6,3345,26203.4,3498,29141.3,3793,63278.6,4069,41870.7
7456,120729.9,6878,31084.8,7209,49972.2,6374,63303.6,6196,188149.4,7230,12718.2,7560,12526.5,7252,18416.6,6710,15846.0,6846,14170.2,6904,34457.9,8152,13614.9
