acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,211075.8,62,195206.1,64,189678.3,63,173520.5,64,216390.4,62,115995.6,58,110062.0,64,124591.9,58,136387.6,62,115517.2,63,198416.6,62,147708.1
127,210119.1,124,189845.4,113,185007.8,127,202090.8,121,135459.7,120,96205.3,121,134454.0,116,121750.5,108,127226.2,119,115960.1,128,194683.7,99,169064.1
253,141746.9,251,130564.3,221,125289.5,256,134279.8,247,152742.5,229,89815.1,228,104225.8,238,81612.6,232,114004.8,232,87794.5,249,148759.4,215,134109.1
498,73696.2,482,82945.1,499,67449.2,510,64171.2,505,72022.5,426,57769.9,468,62932.7,420,53227.3,449,68575.3,442,41806.0,498,75296.7,374,60899.6
994,30729.2,956,32673.5,926,29542.1,1003,26315.3,917,34831.4,867,28762.3,985,24540.3,810,27956.4,824,35091.9,900,14775.0,989,32784.9,561,59903.9
1892,14763.7,1897,13896.3,1896,13011.8,1966,11587.8,1769,16064.1,1671,10644.7,1766,11434.1,1756,7122.1,1625,15840.8,1758,9797.8,1932,14661.8,1691,13839.7
3812,7830.7,3316,7918.6,3813,6809.0,3993,6517.4,3163,9440.0,3543,4882.0,3796,4428.9,3686,4082.3,3345,3893.2,3498,4311.8,3793,6839.9,4069,4912.6
7456,3823.5,6878,3856.2,7209,3423.2,6374,4338.6,6196,4784.0,7230,2412.5,7560,2285.3,7252,2200.3,6710,3000.9,6846,2244.5,6904,3582.1,8152,2583.4
