acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,140930.1,62,181871.0,64,184005.6,63,222581.9,64,203279.3,63,0.6,58,0.7,64,190182.5,58,190228.6,63,164299.0,63,194897.0,62,204259.7
127,186829.0,124,175303.3,116,23020.5,127,166683.1,121,5154.3,120,19220.1,121,0.6,116,0.6,108,11778.0,119,188909.2,128,200166.1,99,187260.6
253,189691.2,251,205729.4,222,168679.4,256,170143.7,247,165661.4,229,199199.0,228,189844.6,238,95221.4,232,204460.9,232,91429.4,249,115837.0,215,0.5
498,192617.6,482,208007.0,499,205532.2,510,148634.8,505,184003.9,426,40934.4,468,29205.4,420,124934.5,449,93714.3,442,58050.6,498,214719.2,374,135980.9
994,183795.8,956,190129.7,926,183774.7,1003,176748.0,917,176742.6,867,116673.3,985,122679.2,810,61448.7,824,83765.2,900,0.6,989,170382.0,561,150624.8
1892,189993.4,1897,150586.4,1896,212392.8,1966,150421.9,1769,195871.5,1671,79330.4,1766,80863.6,1756,94389.7,1625,111733.5,1758,90651.4,1932,172481.3,1691,92228.1
3812,184906.3,3316,113605.6,3813,133804.5,3993,146848.8,3163,164756.6,3543,55808.8,3796,97153.9,3686,72233.3,3345,63138.8,3498,89942.2,3793,118766.0,4069,129030.8
7456,169294.0,6878,141636.7,7209,109935.5,6374,171253.4,6196,183436.8,7230,55670.4,7560,11836.5,7252,77889.1,6710,39662.0,6846,62078.6,6904,74332.3,8152,40347.5
