acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,216421.7,62,184794.4,64,162586.6,63,174812.0,64,175337.3,62,0.9,58,0.6,64,217112.3,58,181716.7,62,182485.0,63,192049.6,62,172682.4
127,197856.2,124,180370.8,113,24642.3,127,183073.8,121,6178.9,120,17231.3,121,0.5,116,0.6,108,13751.8,119,213800.2,128,193024.3,99,162067.8
253,196314.2,251,159552.5,221,206083.0,256,196865.9,247,181349.6,229,195593.0,228,181840.4,238,110815.6,232,202741.0,232,85642.3,249,104631.4,215,0.8
498,180560.0,482,164774.8,499,184553.7,510,144618.2,505,183797.6,426,35234.0,468,15341.4,420,142156.8,449,97876.7,442,37511.2,498,184921.0,374,133979.7
994,152756.9,956,109967.6,926,140845.4,1003,0.5,917,186807.6,867,74357.1,985,71606.2,810,61884.8,824,35102.5,900,0.7,989,124776.7,561,130256.3
1892,187962.8,1897,58988.1,1896,191992.1,1966,153784.4,1769,210993.2,1671,19337.1,1766,36985.6,1756,57988.0,1625,44263.2,1758,50884.2,1932,105560.3,1691,54365.3
3812,134198.9,3316,36644.1,3813,99524.3,3993,123532.5,3163,179646.3,3543,8972.7,3796,33712.1,3686,15660.8,3345,15316.5,3498,20128.8,3793,46925.8,4069,62001.0
7456,132383.2,6878,32019.1,7209,22410.2,6374,104782.8,6196,155564.1,7230,4737.7,7560,4338.3,7252,25868.9,6710,7879.5,6846,10997.7,6904,13434.1,8152,6661.5
