acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,194921.1,62,171899.1,64,178929.2,63,167302.9,64,205809.7,63,42523.6,58,117956.2,64,68313.8,58,64865.4,63,189796.6,63,184619.9,62,147465.0
127,185067.4,124,178664.9,116,175216.1,127,152942.8,121,106929.9,120,121882.5,121,92416.7,116,110328.8,108,132727.1,119,75620.4,128,185248.8,99,133909.3
253,222114.6,251,141915.3,222,149070.2,256,166350.1,247,192823.8,229,135888.8,228,100945.1,238,114155.0,232,94082.2,232,103798.0,249,191283.6,215,133576.1
498,219673.6,482,167304.3,499,191497.3,510,181838.2,505,202396.3,426,168434.6,468,118342.2,420,100791.2,449,123885.6,442,83320.2,498,183486.0,374,164367.8
994,104855.2,956,98121.8,926,112045.4,1003,114292.6,917,139663.6,867,53046.7,985,28386.9,810,53516.3,824,83557.2,900,57144.0,989,70777.7,561,136938.2
1892,54030.6,1897,50566.5,1896,48113.2,1966,52244.8,1769,62697.1,1671,32059.5,1766,26583.0,1756,33401.6,1625,49074.4,1758,36428.0,1932,42533.3,1691,36990.9
3812,24656.2,3316,27584.4,3813,14587.3,3993,22297.8,3163,35214.2,3543,16230.7,3796,12145.2,3686,14566.9,3345,20129.5,3498,5892.2,3793,26606.9,4069,14037.4
7456,12838.8,6878,12036.2,7209,14430.1,6374,16484.4,6196,16326.3,7230,8583.2,7560,7251.0,7252,7509.1,6710,8906.1,6846,8820.8,6904,10784.6,8152,8650.4
