acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,217537.6,62,170137.5,64,169893.3,63,194560.0,64,221822.4,63,115594.7,58,108631.2,64,130589.2,58,133229.9,63,119271.8,63,188894.3,62,155868.4
127,222186.1,124,192032.0,116,184859.4,127,204588.1,121,130481.7,120,96485.2,121,134944.4,116,118753.6,108,124701.2,119,112177.7,128,202870.0,99,165996.3
253,215193.6,251,177757.0,222,179275.5,256,196903.4,247,223501.8,229,120592.2,228,133290.4,238,113415.7,232,142126.2,232,117186.6,249,193334.5,215,155053.3
498,154198.9,482,131713.7,499,139875.3,510,139309.0,505,164044.4,426,90691.7,468,100493.5,420,90006.8,449,118314.7,442,69694.6,498,140864.6,374,105507.0
994,80844.0,956,79157.6,926,82044.3,1003,80119.3,917,94295.8,867,55520.6,985,51345.7,810,53467.1,824,74671.9,900,30919.9,989,79161.1,561,110258.1
1892,44034.5,1897,40616.4,1896,41420.1,1966,42484.7,1769,52373.9,1671,29028.3,1766,28686.4,1756,19572.8,1625,43247.3,1758,25264.3,1932,38636.2,1691,31457.5
3812,25721.0,3316,24207.6,3813,23330.3,3993,21729.8,3163,29848.9,3543,13934.4,3796,12961.8,3686,12289.4,3345,11940.3,3498,13072.4,3793,21717.9,4069,15074.6
7456,13223.1,6878,11518.9,7209,12222.8,6374,12670.4,6196,14234.1,7230,6585.3,7560,6872.8,7252,6290.8,6710,9196.4,6846,6548.6,6904,12001.6,8152,7697.5
