acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,156631.9,62,151907.5,64,155225.5,63,151205.7,64,158213.6,63,108103.9,58,111822.6,64,119364.2,58,134799.5,63,120220.2,63,155324.4,62,141425.2
127,147362.9,124,151495.8,116,153734.4,127,161365.9,121,125880.4,120,100324.2,121,133285.9,116,121950.1,108,129776.7,119,104636.9,128,150760.7,99,148723.6
253,147521.2,251,145045.5,222,149814.0,256,163182.4,247,151173.1,229,122300.2,228,129012.3,238,120172.6,232,127641.5,232,118743.6,249,151444.5,215,145933.9
498,166462.3,482,171400.9,499,165797.8,510,164477.5,505,158983.1,426,118041.2,468,126880.9,420,114611.0,449,120938.5,442,89756.2,498,165427.0,374,113540.8
994,87910.4,956,103895.1,926,82494.5,1003,88386.3,917,98269.6,867,76742.6,985,57359.6,810,68323.9,824,90315.5,900,38309.5,989,78741.5,561,147009.1
1892,53727.1,1897,48963.7,1896,40962.7,1966,43587.7,1769,50874.3,1671,37664.6,1766,34088.4,1756,24551.2,1625,50768.0,1758,30720.3,1932,48973.4,1691,48888.2
3812,31995.1,3316,31593.1,3813,24628.4,3993,26665.9,3163,30208.3,3543,18143.8,3796,15020.1,3686,18051.2,3345,12410.5,3498,15769.6,3793,23864.8,4069,18769.2
7456,13651.2,6878,11572.7,7209,14242.4,6374,13437.1,6196,16218.2,7230,7791.0,7560,7293.0,7252,8171.9,6710,11023.6,6846,9775.3,6904,14194.3,8152,8443.7
