acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,161025.1,62,179157.1,64,183513.6,63,204995.2,64,170747.8,63,0.6,58,0.5,64,180584.1,58,193099.2,63,182614.6,63,181335.6,62,170954.5
127,183730.5,124,204922.1,116,25183.3,127,204734.3,121,5298.5,120,17591.6,121,0.6,116,0.7,108,12324.4,119,153942.3,128,181287.5,99,182770.6
253,185847.0,251,188179.5,222,205148.2,256,175481.7,247,188394.1,229,181362.8,228,206188.2,238,97368.2,232,201849.4,232,99627.8,249,126987.7,215,0.6
498,190211.3,482,195274.7,499,185227.1,510,156626.8,505,167995.1,426,36368.7,468,33039.9,420,129730.3,449,92650.9,442,100160.8,498,165975.6,374,148889.5
994,133279.4,956,118507.8,926,158001.5,1003,139588.5,917,183505.9,867,129530.0,985,97096.7,810,66254.9,824,90310.2,900,0.6,989,155947.6,561,127409.6
1892,95407.7,1897,76224.3,1896,114912.5,1966,116120.6,1769,102802.6,1671,58561.8,1766,49028.7,1756,58081.9,1625,100979.4,1758,49598.0,1932,84998.6,1691,70702.8
3812,34535.0,3316,23145.9,3813,28871.8,3993,30464.0,3163,32445.7,3543,14858.0,3796,19437.3,3686,22735.0,3345,23200.6,3498,30869.5,3793,23842.6,4069,51025.0
7456,22201.7,6878,12798.5,7209,10921.2,6374,16091.0,6196,22750.3,7230,8005.2,7560,4958.7,7252,12720.3,6710,10099.6,6846,8323.6,6904,11327.0,8152,6468.6
