acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,216694.9,62,182524.5,64,194709.1,63,206263.6,64,223297.5,63,116066.1,58,131572.6,64,132469.1,58,112379.8,63,113942.9,63,176538.6,62,162413.4
127,202134.2,124,195138.3,116,172005.5,127,177485.0,121,137238.8,120,130640.7,121,138130.5,116,115911.1,108,124758.4,119,104774.0,128,202698.4,99,117688.6
253,214424.4,251,192017.5,222,175848.5,256,185241.4,247,224101.8,229,118638.3,228,62020.6,238,116024.2,232,137677.9,232,113567.8,249,194949.0,215,160121.0
498,208264.5,482,193476.4,499,181539.7,510,183286.1,505,222086.1,426,124905.7,468,133426.3,420,125200.0,449,131198.8,442,95361.9,498,194817.2,374,160065.8
994,213045.4,956,175433.2,926,197421.1,1003,201745.9,917,201490.7,867,104722.9,985,89937.3,810,102793.9,824,85523.1,900,80965.6,989,199653.2,561,174659.2
1892,208510.7,1897,86579.5,1896,152868.9,1966,169744.4,1769,224583.7,1671,51600.6,1766,50772.1,1756,56653.5,1625,55048.9,1758,49066.6,1932,113668.1,1691,78507.5
3812,142056.4,3316,56651.8,3813,85700.6,3993,101235.8,3163,207549.3,3543,26411.3,3796,17734.5,3686,30504.8,3345,24859.9,3498,25274.3,3793,55619.9,4069,40567.0
7456,83893.3,6878,23098.8,7209,40984.0,6374,52488.7,6196,116994.6,7230,10686.6,7560,11725.7,7252,17553.9,6710,15554.4,6846,13385.7,6904,28941.5,8152,13570.7
