acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,208117.7,62,170211.2,64,168611.7,63,170673.6,64,194573.1,63,49020.6,58,108671.8,64,55570.6,58,69567.6,63,196659.7,63,213869.4,62,171625.9
127,205443.2,124,189880.2,116,171240.9,127,156552.0,121,118252.9,120,147075.0,121,96831.0,116,91900.8,108,122927.9,119,58162.2,128,189675.1,99,146882.7
253,215119.7,251,149216.5,222,153162.1,256,165832.3,247,0.6,229,138337.5,228,102334.7,238,125094.9,232,91890.8,232,117091.3,249,201334.6,215,0.6
498,227269.9,482,170195.9,499,192428.8,510,167915.7,505,216208.0,426,168494.4,468,123044.1,420,110185.8,449,117542.3,442,84142.7,498,185810.6,374,173769.0
994,116447.1,956,51781.8,926,102862.9,1003,112844.5,917,129002.9,867,59590.7,985,29209.8,810,53443.2,824,83559.2,900,56641.6,989,72540.1,561,138891.7
1892,44665.8,1897,43759.6,1896,55252.3,1966,51370.3,1769,61928.5,1671,29532.5,1766,30034.5,1756,32711.3,1625,52210.1,1758,40370.2,1932,49630.4,1691,39217.0
3812,27789.4,3316,27966.4,3813,24879.3,3993,25657.3,3163,33799.5,3543,16359.5,3796,14589.6,3686,13839.1,3345,21210.2,3498,6240.5,3793,24481.8,4069,16407.2
7456,14616.2,6878,13047.6,7209,11267.3,6374,17110.0,6196,18480.6,7230,7998.5,7560,7811.5,7252,8006.3,6710,10456.0,6846,8287.3,6904,12954.4,8152,8442.5
