acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,216314.3,62,159754.0,64,160288.0,63,167290.7,64,145302.7,63,118036.5,58,112335.7,64,129938.5,58,135069.6,63,120351.8,63,154319.4,62,150739.8
127,160692.7,124,152299.1,116,156341.5,127,145784.8,121,126303.4,120,98153.0,121,126118.6,116,120807.1,108,127845.2,119,115228.2,128,134283.6,99,152417.0
253,142053.6,251,146622.1,222,160480.4,256,156394.6,247,151425.5,229,106130.3,228,127203.5,238,114565.7,232,134158.6,232,115631.6,249,139819.8,215,144845.0
498,148299.6,482,155929.3,499,128436.1,510,136762.3,505,139391.3,426,113082.8,468,122175.7,420,113620.9,449,124099.6,442,89583.3,498,126492.2,374,111988.6
994,111791.9,956,103060.9,926,130934.3,1003,105509.6,917,161622.5,867,73617.0,985,66395.7,810,78943.4,824,92197.9,900,44005.0,989,96184.2,561,137688.6
1892,62111.4,1897,51376.9,1896,57103.2,1966,62238.9,1769,84536.2,1671,39107.2,1766,35176.2,1756,26446.9,1625,48708.4,1758,33734.7,1932,56936.0,1691,59015.0
3812,34071.4,3316,29925.8,3813,27424.4,3993,27633.9,3163,39438.8,3543,18875.1,3796,15825.4,3686,18969.1,3345,15375.6,3498,18349.1,3793,26032.6,4069,22482.4
7456,20065.4,6878,13227.5,7209,13120.4,6374,14648.9,6196,28211.9,7230,9157.2,7560,8902.1,7252,8843.4,6710,10588.8,6846,8418.3,6904,13449.8,8152,10384.5
