acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,183717.6,62,163097.8,64,184417.6,63,183168.9,64,205634.7,63,0.7,58,0.6,64,204791.0,58,177647.1,63,183288.8,63,187546.7,62,183704.0
127,192612.1,124,186931.1,116,26273.1,127,183191.6,121,5418.4,120,17493.9,121,0.5,116,0.6,108,12035.8,119,208570.9,128,184498.1,99,183391.6
253,178306.8,251,175517.2,222,163779.3,256,183495.2,247,209901.1,229,181957.7,228,168691.0,238,111330.1,232,184482.0,232,88065.5,249,92882.6,215,0.7
498,205903.4,482,196183.5,499,165603.3,510,165495.4,505,185218.7,426,41981.4,468,31293.9,420,125131.4,449,98693.9,442,55928.3,498,192874.5,374,133671.0
994,204680.7,956,181755.9,926,206011.0,1003,177431.0,917,189405.8,867,116524.4,985,128141.2,810,67232.1,824,76943.4,900,0.8,989,162782.4,561,147021.4
1892,187778.2,1897,142003.8,1896,185546.2,1966,150904.1,1769,172073.9,1671,79831.0,1766,68318.3,1756,91884.0,1625,121448.0,1758,86978.4,1932,157205.2,1691,97589.6
3812,183348.9,3316,112883.5,3813,169493.9,3993,161547.3,3163,175524.9,3543,54010.9,3796,106087.5,3686,80093.0,3345,64882.0,3498,84171.4,3793,136418.6,4069,110363.1
7456,186159.0,6878,114502.9,7209,132321.8,6374,181165.3,6196,189914.8,7230,46806.8,7560,13238.4,7252,84862.9,6710,46875.2,6846,54167.5,6904,87911.8,8152,39637.3
