acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
483,134456.2,62,168159.0,64,155116.6,63,147432.4,64,145906.1,63,114574.7,58,110637.4,64,129189.5,58,131043.2,63,116552.4,63,146824.4,62,142913.1
127,153545.3,124,149952.5,116,146375.8,127,155079.0,121,121853.9,120,99677.7,121,117459.2,116,116932.5,108,124331.4,119,115668.0,128,164641.8,99,143178.8
253,143492.1,251,130157.7,222,135059.3,256,147669.1,247,128732.6,229,122679.6,228,127256.4,238,118303.2,232,129869.7,232,116253.4,249,134827.9,215,143161.3
498,150184.4,482,159478.6,499,132095.4,510,157599.7,505,168650.2,426,113347.9,468,121218.0,420,109568.6,449,120578.1,442,79589.8,498,150738.3,374,104536.9
994,89916.0,956,85976.9,926,63798.2,1003,88992.1,917,121128.9,867,77239.5,985,56709.5,810,74574.5,824,95268.1,900,42323.3,989,89475.4,561,143813.1
1892,59944.3,1897,48191.3,1896,52009.9,1966,49578.9,1769,63582.2,1671,39071.6,1766,33227.9,1756,25166.1,1625,53691.9,1758,33169.9,1932,54217.9,1691,47874.2
3812,27463.8,3316,29529.7,3813,24605.2,3993,26108.6,3163,22679.7,3543,17943.8,3796,15018.9,3686,16684.2,3345,14947.4,3498,14253.6,3793,20453.6,4069,17767.9
7456,14406.0,6878,13993.9,7209,14309.6,6374,12918.5,6196,14650.0,7230,7788.8,7560,8212.6,7252,8030.6,6710,10113.5,6846,7868.1,6904,10868.6,8152,8568.3
