acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,216339.1,62,182633.2,64,188155.3,63,184872.8,64,210260.8,63,121655.3,58,122797.8,64,138899.3,58,106187.2,63,117058.6,63,186578.1,62,158286.2
127,211181.5,124,183372.5,116,193932.0,127,200402.6,121,134038.5,120,116209.4,121,144571.2,116,119912.3,108,121702.7,119,107784.2,128,193494.7,99,114351.0
253,211602.1,251,191056.4,222,186354.0,256,184436.1,247,221533.2,229,120801.1,228,63433.5,238,125482.7,232,137956.7,232,126005.2,249,186441.3,215,174969.7
498,221347.7,482,189288.3,499,182118.9,510,193241.6,505,214802.5,426,136814.9,468,133182.9,420,117762.8,449,143561.4,442,99959.7,498,202869.0,374,129834.7
994,204923.9,956,171124.1,926,184360.6,1003,197992.9,917,224439.5,867,106638.3,985,89897.4,810,103323.1,824,110774.9,900,92915.4,989,193615.5,561,160545.4
1892,192235.3,1897,108502.1,1896,171407.5,1966,174070.0,1769,207814.3,1671,58370.4,1766,58274.8,1756,66395.0,1625,57129.4,1758,49776.6,1932,155918.7,1691,97701.2
3812,168970.3,3316,68789.1,3813,122317.9,3993,141381.5,3163,212306.6,3543,27424.2,3796,19731.4,3686,34246.7,3345,27268.5,3498,27363.2,3793,63783.8,4069,42206.1
7456,123122.1,6878,33239.6,7209,52333.4,6374,63168.4,6196,177705.3,7230,10941.2,7560,11087.6,7252,16734.7,6710,16006.9,6846,14476.0,6904,30419.3,8152,13166.3
