acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,225921.1,62,172053.4,64,188317.8,63,162825.6,64,220706.5,63,55020.9,58,137622.9,64,74322.2,58,79885.1,63,225473.1,63,222505.8,62,195606.1
127,228858.5,124,200827.4,116,197696.6,127,183175.4,121,138616.7,120,151201.3,121,109942.5,116,117778.7,108,136769.2,119,84162.2,128,126351.2,99,154088.7
253,217849.2,251,167134.5,222,161776.5,256,160022.8,247,204935.8,229,146976.4,228,104166.7,238,125967.6,232,112547.8,232,115019.5,249,203393.8,215,168167.3
498,220631.8,482,183737.2,499,187494.1,510,188455.6,505,210727.2,426,158923.4,468,136979.1,420,118440.1,449,106483.4,442,80908.1,498,186385.7,374,168929.4
994,216284.8,956,156464.5,926,186038.9,1003,197171.3,917,222181.4,867,109298.7,985,0.6,810,87525.6,824,100617.8,900,88282.5,989,147004.2,561,135061.9
1892,221954.5,1897,93378.6,1896,181289.1,1966,170839.8,1769,220405.4,1671,65056.2,1766,48359.3,1756,55778.7,1625,90249.2,1758,73787.9,1932,163590.3,1691,103033.7
3812,215407.0,3316,111684.9,3813,147514.9,3993,150379.3,3163,222254.9,3543,35991.8,3796,25729.0,3686,42759.1,3345,37752.2,3498,13768.8,3793,64403.5,4069,54798.7
7456,179131.6,6878,25297.8,7209,64077.0,6374,82906.4,6196,187846.0,7230,13573.2,7560,13428.9,7252,19414.3,6710,16201.8,6846,15048.4,6904,44938.3,8152,30382.9
