acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,183158.5,62,168602.9,64,202680.4,63,215674.2,64,199644.0,63,0.4,58,0.5,64,184920.7,58,187026.4,63,161873.7,63,204743.7,62,191475.3
127,166120.5,124,195877.9,116,23878.2,127,197337.8,121,5297.6,120,17686.9,121,0.6,116,0.6,108,13615.3,119,189765.1,128,206745.1,99,214856.5
253,191850.5,251,189557.1,222,171684.5,256,218337.5,247,194845.6,229,203429.7,228,222187.8,238,97395.2,232,208869.3,232,109757.8,249,121246.2,215,0.5
498,191585.8,482,204754.1,499,216489.4,510,166450.2,505,189996.1,426,39643.1,468,29856.3,420,129589.8,449,86227.7,442,57645.5,498,211620.5,374,153917.6
994,186619.2,956,194791.2,926,217716.6,1003,194400.1,917,134158.3,867,127755.3,985,121868.3,810,69078.7,824,89946.3,900,0.6,989,199499.7,561,145838.0
1892,216510.8,1897,142896.6,1896,169447.9,1966,166509.0,1769,173793.0,1671,79243.6,1766,78211.4,1756,107403.4,1625,126020.8,1758,102133.0,1932,171235.4,1691,93069.7
3812,192090.2,3316,104626.1,3813,143358.9,3993,196566.4,3163,213128.2,3543,54385.1,3796,97496.2,3686,79357.0,3345,64434.2,3498,85897.3,3793,124049.9,4069,139299.2
7456,185446.7,6878,129257.7,7209,133509.3,6374,165271.4,6196,202798.9,7230,58187.0,7560,15217.8,7252,89218.1,6710,39977.6,6846,58901.1,6904,78028.9,8152,37181.2
