acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,198056.8,62,171561.2,64,176789.1,63,154836.0,64,188641.3,63,46586.3,58,121440.5,64,61987.6,58,70782.8,63,193118.6,63,185397.1,62,188654.3
127,182694.2,124,182316.3,116,190632.7,127,159445.8,121,119388.8,120,137306.7,121,94425.2,116,86564.3,108,118990.2,119,71102.6,128,195974.5,99,142651.9
253,184114.6,251,157227.0,222,155354.5,256,157424.3,247,175327.3,229,130315.6,228,92351.6,238,113682.7,232,98154.6,232,110274.6,249,203944.2,215,139357.2
498,206928.3,482,183738.2,499,160478.7,510,151216.3,505,203058.8,426,153107.9,468,136846.2,420,101298.1,449,121680.6,442,68685.2,498,181668.3,374,164824.8
994,194264.8,956,178087.3,926,164220.3,1003,180029.5,917,169471.1,867,114875.2,985,56456.5,810,94194.6,824,111230.9,900,103442.6,989,168670.9,561,136819.4
1892,185697.2,1897,119173.8,1896,164127.5,1966,173250.8,1769,191123.1,1671,69427.3,1766,49186.5,1756,77541.8,1625,83767.7,1758,74319.5,1932,176704.0,1691,87879.6
3812,203840.5,3316,114441.2,3813,156413.4,3993,174989.2,3163,215793.5,3543,37962.7,3796,21276.7,3686,35493.5,3345,31797.2,3498,11875.5,3793,98664.8,4069,43047.7
7456,194191.4,6878,19769.8,7209,60672.2,6374,104912.1,6196,190105.6,7230,12712.3,7560,10747.6,7252,19273.4,6710,17477.9,6846,14869.5,6904,39926.3,8152,17516.6
