acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,199721.9,62,154596.6,64,151123.1,63,153683.0,64,154127.8,63,117831.1,58,112605.7,64,128575.3,58,135351.4,63,121517.0,63,154686.5,62,136676.5
127,156728.7,124,156555.3,116,158807.1,127,154811.7,121,121745.1,120,100344.2,121,134021.6,116,122746.6,108,117895.3,119,114333.1,128,152006.9,99,152176.5
253,155911.0,251,146014.1,222,148071.8,256,155328.6,247,159298.3,229,121964.3,228,131468.0,238,120032.2,232,139352.3,232,117871.7,249,151551.6,215,143468.1
498,156114.7,482,166661.6,499,153230.0,510,155322.9,505,150130.4,426,118679.3,468,131438.7,420,114624.6,449,119102.9,442,88244.2,498,148426.4,374,116146.4
994,120557.2,956,89098.9,926,107027.4,1003,121903.0,917,166573.2,867,74237.4,985,62336.5,810,74385.1,824,89687.8,900,41284.5,989,84528.3,561,153812.2
1892,52341.5,1897,54214.0,1896,51200.7,1966,54350.6,1769,111363.8,1671,40870.7,1766,36911.7,1756,24150.5,1625,49586.6,1758,31275.9,1932,56732.6,1691,55533.6
3812,41033.2,3316,27803.1,3813,30894.1,3993,27959.9,3163,46373.2,3543,17905.1,3796,15779.4,3686,17240.6,3345,14648.2,3498,17605.8,3793,27635.1,4069,23061.2
7456,18799.0,6878,12975.4,7209,15591.7,6374,17781.0,6196,26592.6,7230,8890.8,7560,8559.1,7252,8159.6,6710,10617.8,6846,9444.0,6904,15317.9,8152,11688.6
