acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,214335.3,62,197282.2,64,201314.0,63,201168.1,64,222511.3,63,120723.3,58,126635.5,64,130369.3,58,119242.5,63,117262.2,63,174282.6,62,159226.9
127,209211.5,124,197822.3,116,195487.7,127,201446.8,121,143611.2,120,137291.6,121,144025.2,116,129280.0,108,132751.8,119,107705.6,128,195673.0,99,114552.2
253,203710.3,251,198473.2,222,190824.0,256,166956.7,247,212705.2,229,121539.5,228,71126.6,238,114026.3,232,140340.3,232,126428.3,249,188568.9,215,174234.9
498,158329.4,482,157918.5,499,158513.4,510,181328.1,505,183695.1,426,129136.2,468,131144.4,420,125127.5,449,143057.7,442,93315.0,498,179015.6,374,165572.2
994,95688.1,956,99942.8,926,101804.2,1003,100408.7,917,116641.4,867,70419.7,985,57071.5,810,69094.2,824,85189.6,900,61054.1,989,93646.5,561,141466.5
1892,38862.7,1897,40366.8,1896,52888.9,1966,51157.4,1769,59486.7,1671,31176.3,1766,34239.6,1756,31208.9,1625,41558.8,1758,31118.0,1932,53050.0,1691,46239.1
3812,25524.6,3316,29609.1,3813,24361.5,3993,26821.9,3163,30221.4,3543,15802.3,3796,12303.8,3686,15917.8,3345,18818.8,3498,15376.6,3793,25952.7,4069,19365.4
7456,15439.1,6878,11952.1,7209,11843.2,6374,13839.1,6196,14195.8,7230,7907.4,7560,7953.9,7252,8080.3,6710,11791.1,6846,9642.6,6904,12744.1,8152,6443.9
