acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,205714.3,62,37662.0,64,185278.5,63,192552.5,64,195315.0,63,0.6,58,0.6,64,212400.9,58,208229.2,63,191501.9,63,168745.0,62,206032.9
127,191191.7,124,188013.9,116,23565.0,127,195386.2,121,5921.2,120,18140.7,121,0.7,116,0.5,108,12772.1,119,204913.2,128,173058.7,99,188120.2
253,192634.1,251,214868.7,222,190408.0,256,168036.8,247,215260.4,229,179447.2,228,189300.6,238,111123.8,232,183565.4,232,77253.9,249,128960.7,215,0.5
498,193163.9,482,197644.5,499,186528.8,510,167839.1,505,196412.9,426,39326.0,468,34841.9,420,137200.3,449,86947.7,442,88052.9,498,207581.1,374,136473.8
994,136300.2,956,116798.9,926,170596.4,1003,137804.7,917,168494.4,867,99393.6,985,112955.4,810,62650.8,824,83561.8,900,0.4,989,157031.3,561,126203.6
1892,101246.0,1897,93731.4,1896,112098.0,1966,112588.6,1769,106613.4,1671,62749.0,1766,45734.8,1756,54607.8,1625,108025.3,1758,55322.9,1932,92770.3,1691,69130.1
3812,36214.8,3316,26761.1,3813,38223.9,3993,34623.7,3163,40820.9,3543,15553.6,3796,22603.5,3686,26263.7,3345,24069.8,3498,32924.3,3793,26744.1,4069,51683.3
7456,19340.3,6878,13394.5,7209,10963.7,6374,19623.5,6196,22210.6,7230,8860.0,7560,4716.6,7252,12002.7,6710,9746.6,6846,9549.2,6904,12688.2,8152,6619.4
