acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,206354.8,62,129548.0,64,123606.9,63,150353.6,64,164185.6,62,49707.1,58,131868.1,64,63484.8,58,63948.3,62,174169.0,63,183558.0,62,147751.4
127,191508.3,124,180451.7,113,147073.6,127,164283.2,121,112575.9,120,145872.2,121,87095.9,116,109543.4,108,109498.7,119,73758.0,128,158044.4,99,142431.6
253,181922.3,251,137217.6,221,129706.0,256,136375.3,247,189309.9,229,134506.9,228,91987.5,238,111929.6,232,88587.0,232,111807.9,249,179912.6,215,138360.7
498,154083.3,482,102079.1,499,164831.6,510,184835.5,505,219980.6,426,147260.1,468,93453.1,420,96947.4,449,75237.3,442,72775.3,498,144984.4,374,150520.7
994,170063.5,956,82845.5,926,103880.8,1003,137216.6,917,167520.5,867,39684.0,985,23036.7,810,53535.1,824,39001.0,900,31716.1,989,65490.4,561,90108.2
1892,122832.2,1897,34896.2,1896,60990.6,1966,74556.2,1769,172534.6,1671,22169.9,1766,18678.9,1756,20312.1,1625,24282.9,1758,22937.2,1932,50607.3,1691,23585.1
3812,76837.5,3316,33563.2,3813,24567.1,3993,34325.9,3163,131383.7,3543,9686.1,3796,9668.6,3686,10737.6,3345,9257.2,3498,3797.6,3793,19807.6,4069,12651.3
7456,44373.8,6878,13892.4,7209,15014.8,6374,19240.4,6196,62706.4,7230,3724.4,7560,6447.5,7252,5890.2,6710,5721.5,6846,6067.1,6904,11917.9,8152,6635.4
