acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,217963.9,62,194586.7,64,182737.8,63,199177.1,64,221850.1,63,121513.6,58,136970.2,64,139544.8,58,118222.8,63,127510.6,63,175136.9,62,167701.4
127,218143.4,124,197483.5,116,183642.7,127,213804.0,121,143302.3,120,136752.9,121,134006.5,116,119493.5,108,131116.1,119,114607.7,128,195631.5,99,114623.1
253,218304.4,251,185247.0,222,189549.2,256,197941.9,247,222488.3,229,132026.0,228,71319.6,238,124967.2,232,141034.0,232,126046.8,249,194294.7,215,163094.8
498,219756.1,482,190992.4,499,182028.7,510,202276.7,505,218957.3,426,125672.6,468,144878.3,420,127761.6,449,142362.2,442,100092.4,498,193391.8,374,154167.5
994,220380.8,956,180110.6,926,196794.0,1003,206630.7,917,222655.6,867,112439.3,985,101123.7,810,118214.2,824,95856.9,900,92070.5,989,196024.5,561,165733.7
1892,218713.8,1897,112508.7,1896,178372.2,1966,183593.3,1769,216559.0,1671,60201.6,1766,58302.6,1756,68818.1,1625,58028.0,1758,55993.7,1932,154271.6,1691,95759.1
3812,181884.7,3316,71084.5,3813,122414.1,3993,133511.5,3163,216061.0,3543,31074.3,3796,18383.9,3686,32602.1,3345,28322.0,3498,26162.6,3793,69682.9,4069,42014.7
7456,125160.5,6878,32627.4,7209,55174.1,6374,63411.3,6196,190105.6,7230,12384.3,7560,10492.2,7252,17742.2,6710,15489.8,6846,14177.2,6904,32580.3,8152,13081.3
