acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,208533.4,62,197175.0,64,184938.8,63,206652.8,64,211697.3,62,113727.8,58,127430.8,64,127069.9,58,108510.3,62,117204.8,63,176308.9,62,153768.6
127,213653.3,124,186514.1,113,182932.3,127,177245.1,121,134026.0,120,128820.4,121,131295.8,116,119731.0,108,124018.4,119,109360.5,128,188656.6,99,117231.5
253,208767.2,251,190457.1,221,172952.9,256,189650.3,247,189032.7,229,121323.1,228,60190.8,238,118873.8,232,146077.4,232,118479.9,249,189124.8,215,167402.8
498,217813.4,482,165147.8,499,188648.7,510,195861.4,505,221751.4,426,113315.4,468,116048.3,420,99855.5,449,80565.3,442,62072.2,498,192873.9,374,133168.3
994,132777.7,956,75440.9,926,106526.9,1003,103340.8,917,217707.3,867,46431.2,985,47809.7,810,45497.4,824,41160.5,900,36372.9,989,79426.8,561,117454.9
1892,74068.6,1897,33789.3,1896,44822.8,1966,42064.9,1769,91358.2,1671,18556.0,1766,23379.4,1756,18984.9,1625,18928.4,1758,16657.6,1932,43284.9,1691,33144.2
3517,11901.7,1897,30836.4,1896,41770.7,1966,48136.9,1769,99539.8,1671,18064.0,1766,18524.6,1756,17608.7,1625,15369.7,1758,15395.4,1932,40040.5,1691,26008.4
3812,36096.9,3316,16042.2,3813,20357.7,3993,23335.3,3163,55486.8,3543,8419.2,3796,6740.0,3686,8236.9,3345,6534.1,3498,6719.9,3793,14222.1,4069,9004.7
7456,19546.6,6878,8631.3,7209,9885.7,6374,12532.9,6196,29662.7,7230,3157.3,7560,4709.4,7252,5145.6,6710,5062.0,6846,4352.5,6904,8768.7,8152,2747.6
