acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,188672.6,62,170618.8,64,159151.5,63,176762.1,64,176078.2,63,50004.6,58,46241.0,64,70410.9,58,76766.1,63,190163.8,63,189563.1,62,167628.7
127,173226.2,124,177403.6,116,186778.8,127,157713.9,121,119511.6,120,135266.5,121,103640.8,116,105142.7,108,119021.8,119,78651.8,128,193824.6,99,143987.1
253,174389.6,251,144585.8,222,150839.6,256,159666.3,247,188100.7,229,135496.4,228,101083.8,238,111418.7,232,103954.2,232,114993.2,249,200913.6,215,133518.9
498,213026.3,482,174869.7,499,163982.1,510,159766.8,505,185482.6,426,144590.7,468,140600.5,420,113027.4,449,122762.7,442,64215.0,498,161599.1,374,167680.9
994,187016.3,956,174492.3,926,179520.4,1003,180600.8,917,190348.3,867,112662.8,985,56317.0,810,89621.5,824,101259.0,900,95598.3,989,168172.4,561,127304.0
1892,207808.1,1897,119271.2,1896,191967.6,1966,173203.3,1769,186851.6,1671,56519.2,1766,46594.2,1756,83493.5,1625,101484.3,1758,78760.1,1932,178530.3,1691,93098.8
3812,190493.4,3316,123713.8,3813,172906.1,3993,178352.5,3163,194983.2,3543,35584.9,3796,21244.4,3686,34978.8,3345,34676.8,3498,11752.5,3793,78177.0,4069,48628.9
7456,211031.1,6878,27099.7,7209,79685.6,6374,118085.2,6196,191186.4,7230,13990.5,7560,11707.5,7252,20758.4,6710,16795.9,6846,14971.3,6904,42190.1,8152,16164.6
