acl1_s,acl1,acl2_s,acl2,acl3_s,acl3,acl4_s,acl4,acl5_s,acl5,fw1_s,fw1,fw2_s,fw2,fw3_s,fw3,fw4_s,fw4,fw5_s,fw5,ipc1_s,ipc1,ipc2_s,ipc2
63,211335.0,62,207361.7,64,201501.3,63,211948.6,64,203984.3,63,121928.4,58,136818.8,64,139488.5,58,118143.7,63,127179.8,63,176034.3,62,167021.0
127,212392.2,124,188944.1,116,193757.5,127,210274.0,121,142710.3,120,126870.5,121,144602.2,116,129144.8,108,130717.5,119,116492.1,128,205690.4,99,124799.0
253,215000.3,251,197570.0,222,188564.5,256,191662.9,247,213537.0,229,120539.6,228,63153.6,238,124606.3,232,150832.1,232,126363.2,249,196360.1,215,163127.8
498,175829.8,482,171158.7,499,165893.7,510,168310.3,505,176697.1,426,130710.7,468,124232.2,420,126337.7,449,137027.2,442,92513.3,498,162446.8,374,159624.5
994,87541.3,956,97567.2,926,103603.7,1003,88927.3,917,98666.3,867,68184.6,985,60306.3,810,59766.5,824,89937.3,900,61414.2,989,72855.4,561,134982.9
1892,54407.7,1897,53809.6,1896,57180.2,1966,37458.4,1769,69567.6,1671,31632.2,1766,32655.5,1756,32998.4,1625,49405.0,1758,32401.5,1932,52759.9,1691,42106.1
3812,22436.3,3316,29430.2,3813,24763.6,3993,26207.7,3163,32989.0,3543,17052.6,3796,11753.8,3686,16181.1,3345,21293.9,3498,14929.9,3793,21762.3,4069,15989.4
7456,15874.2,6878,11116.4,7209,12660.0,6374,12895.2,6196,16313.1,7230,7120.9,7560,7890.9,7252,8553.8,6710,9795.9,6846,8652.2,6904,12593.4,8152,6321.0
